Proteins	Genes	Cerebellum	Frontal_Cortex	Heart	Kidney	Liver	Lung	Spleen	Amygdala	Entorhinal_Cortex	Gut	Olfactory_Bulb	Striatum	Thalamus	Substantia_Nigra
4833439L19Rik_A22S	NA	8.328345471	NA	NA	13.48318748	NA	NA	NA	NA	NA	NA	9.327328904	8.099421189	NA	8.472199246
4921513D11Rik_L255F;4921513D11Rik_S221C;G3X9J2;Q9D5W3	;;Rmdn2;4921513D11Rik	NA	NA	NA	NA	8.75780314	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A024QYR9;A0A1V0DNR6;A0A6G6A824;O08586	Pten;Pten;;Pten	10.87422361	11.625069	NA	8.909182635	9.832207138	9.934217427	10.05414245	11.37826139	11.56204838	10.07050046	11.4781114	11.61761371	11.43404631	11.32557937
A0A067XG46;A2ADP2;Q9R0X5;Q9R0X5-2	Rpgr	9.674698698	10.37975626	NA	NA	NA	8.502281499	NA	10.8412657	10.76084279	6.080174177	10.81352603	11.17321506	10.94342329	10.71415587
A0A068BGT5;P28704;P28704-2;Q3TWJ1	Rxrb	8.584470918	8.832493488	NA	9.142625868	6.652722325	9.063915609	10.77698394	8.796604246	9.554434725	10.21791235	9.775217974	8.702932441	8.572312263	8.585587517
A0A068F126	NA	7.761664214	NA	NA	7.425772172	NA	6.601158632	6.655247782	8.39329524	NA	NA	7.593635541	7.764657165	7.978212621	NA
A0A068WAQ5	Epb41	7.870161529	7.055262778	12.25901423	13.09031675	11.96154363	11.49430004	10.83319163	NA	NA	10.25763324	7.894578136	NA	NA	NA
A0A075B5J6	Gm20730	NA	NA	12.84766249	NA	13.19167854	12.34209768	11.22851689	NA	NA	11.59723059	NA	NA	NA	NA
A0A075B5J7;A0A0G2JF45	Igkv14-130	NA	NA	NA	NA	NA	9.644209982	9.11110864	NA	NA	8.176923578	NA	NA	NA	NA
A0A075B5J9;A0A075B5K3;A0A0G2JDN5;A0A0G2JFA8	Igkv17-127;Igkv17-121;Igkv17-127;Igkv17-121	12.24757348	11.15656573	16.8743916	14.26927428	15.56767103	16.19504203	16.2461341	11.87944134	12.51538479	15.47084012	11.42182464	10.7004538	11.8972642	12.47170616
A0A075B5K1;A0A0G2JEK4;P01652	Igkv11-125;Igkv11-125;	NA	NA	12.75310714	10.8183675	NA	12.91914587	12.08341519	NA	NA	NA	NA	NA	NA	NA
A0A075B5K2	Igkv9-124	11.92176964	NA	16.11370602	14.62047863	14.89559718	16.07429767	15.76209434	NA	NA	14.66853489	10.23024695	NA	NA	NA
A0A075B5K6;P03976	Igkv2-109;	NA	NA	12.06457457	NA	NA	12.00362406	12.03755495	NA	NA	11.03327881	NA	NA	NA	NA
A0A075B5K7;A0A0G2JG36	Igkv14-100	NA	NA	12.78235066	10.92778761	10.3869534	12.51463083	12.00345182	NA	NA	9.975586753	NA	NA	NA	NA
A0A075B5K8;F6XWB2	Igkv1-99	NA	NA	NA	NA	NA	10.48390356	10.12172689	NA	NA	NA	NA	NA	NA	NA
A0A075B5K9;A0A0G2JGF9	Igkv12-98	NA	NA	NA	8.460486491	NA	NA	13.1865399	NA	NA	NA	NA	NA	NA	NA
A0A075B5M7;A0A0M4KPD8	Igkv5-39;	13.47102181	11.3049255	17.20880145	14.52218209	17.3220712	16.25108797	17.09887592	11.07242205	11.85880075	14.36864581	12.18424888	12.03028921	10.83252201	11.81888333
A0A075B5N3	Igkv8-28	11.51005064	NA	14.25493503	10.74171477	13.27044737	14.18138865	14.25504991	NA	NA	12.3940926	7.396314672	NA	NA	NA
A0A075B5N4	Igkv8-27	NA	NA	12.08825592	10.10773972	12.12330613	12.70685099	12.24783165	NA	NA	11.51636507	NA	NA	NA	NA
A0A075B5N6;A0A0G2JDG9;A0A0G2JGT0	Igkv8-16;Igkv8-16;Gm43218	NA	NA	NA	NA	NA	NA	9.325723	NA	NA	NA	NA	NA	NA	NA
A0A075B5N7	Igkv6-13	13.01364107	12.31646854	17.80993251	14.64934158	15.71443398	17.41078244	16.88545805	11.98514195	11.34810421	15.9479405	12.14931229	11.13156983	12.40823342	12.20253904
A0A075B5R0;A0A0B4J1P4	Ighv5-16	11.12038131	10.31621896	13.57731976	11.94862625	12.17178434	12.9554675	12.66663619	NA	NA	11.77565804	8.474883725	NA	NA	NA
A0A075B5R4	Ighv14-1	NA	NA	9.224551678	NA	NA	NA	9.503224075	NA	NA	NA	NA	NA	NA	NA
A0A075B5R6;A0A075B5R8	Ighv11-1;Ighv11-2	NA	NA	NA	13.02787339	11.33994728	10.0954809	9.713662313	9.585712602	NA	NA	9.802388285	NA	NA	NA
A0A075B5R7;X5J4F8;X5J4P0;X5J4R5;X5J4T4;X5J524;X5J540;X5J5C9;X5J5K7;X5J5K9	Ighv14-2;;;;;;;;;	NA	NA	13.52986914	14.9806469	10.6999614	13.07616108	13.51171298	NA	NA	13.99320679	NA	NA	NA	NA
A0A075B5R9	Ighv14-3	NA	NA	10.57396005	9.883054014	NA	9.796489825	10.04245846	NA	NA	NA	NA	NA	NA	NA
A0A075B5S4;A0A0A6YWL2;X5J4L4	Ighv3-3;Ighv3-3;	11.87418899	NA	NA	11.93735984	10.03211157	11.46136621	NA	NA	NA	11.33040783	NA	NA	NA	NA
A0A075B5S6;X5J4F0;X5J4V9	Ighv3-1;;	9.696032248	NA	11.05122031	10.44763413	11.20975998	11.94493036	11.829719	NA	NA	12.19929139	NA	NA	10.90374714	9.02325936
A0A075B5S9;A0A0A6YWH6	Ighv9-4	NA	NA	NA	11.17844299	11.72625507	11.60615151	10.8641973	NA	NA	11.51864714	NA	NA	NA	NA
A0A075B5T3	Ighv6-6	9.53814547	8.364894947	14.24255301	11.86099734	12.13603233	14.04718041	13.33370415	NA	NA	12.66453364	8.164803923	NA	NA	NA
A0A075B5T5	Ighv1-5	NA	NA	12.85372636	NA	NA	12.70041728	12.6237481	NA	NA	12.36525037	NA	NA	NA	NA
A0A075B5T6	Ighv10-3	NA	NA	NA	NA	10.93117762	11.80132161	9.67912996	NA	NA	11.15698573	NA	NA	NA	NA
A0A075B5T9;A0A0A6YW37;X5J4X2;X5J516;X5J5N1	Ighv1-9;Ighv1-9;;;	NA	NA	13.53946033	12.05106069	12.46076287	12.79875684	13.1838459	NA	NA	NA	NA	NA	NA	NA
A0A075B5V5;X5J577	Ighv1-39;	NA	NA	NA	NA	NA	13.11482866	12.67695486	NA	NA	11.3946986	NA	NA	NA	NA
A0A075B5V7;A0A0A6YXN5	Ighv1-43	NA	NA	9.768052794	NA	10.5427033	10.51269031	10.42963287	NA	NA	10.52999375	NA	NA	NA	NA
A0A075B5W6;X5J4N7;X5J4Z8;X5J512;X5J595;X5J5C2;X5J5K0;X5J5M2	Ighv1-55;;;;;;;	NA	NA	12.05920218	10.71687929	11.31920254	12.4085658	12.58387756	NA	NA	NA	13.29641366	NA	NA	NA
A0A075B666	Igkv13-85	NA	NA	NA	10.76508408	NA	9.003284656	9.091704246	NA	NA	NA	9.584214748	NA	NA	NA
A0A075B674;A0A0G2JGN3	Ighv1-78	NA	NA	10.53744768	9.678602937	10.29858319	11.9838547	11.48760625	NA	NA	NA	NA	NA	NA	NA
A0A075B677	Igkv4-53	NA	NA	14.38712314	12.64585219	13.15420407	14.46368009	13.89935374	NA	NA	11.96914296	NA	NA	NA	NA
A0A075B680;A0A0A6YXZ4;A0A0G2JFL3;X5J4R7;X5J4Z6	Ighv1-62-2;Ighv1-62-2;Ighv1-71;;	NA	NA	10.19072925	13.51367784	11.68460655	12.11779724	12.16943739	NA	NA	11.48465212	NA	NA	NA	NA
A0A075B697;K7TH54;K7THD7;K7THG4;P01819;P01820;X5J4N1;X5J5N0	Ighv2-9-1;;;;;;;	8.685083846	7.643291965	12.75859384	10.59774024	11.28329387	12.808483	12.164226	8.392652184	8.511698328	11.82234293	8.147081144	6.60306312	7.040111641	NA
A0A075B6D5;A0A0G2JFZ3	Igkv19-93	9.493346764	9.349624703	13.79932144	11.61388668	12.65134279	12.69861216	13.57556625	NA	7.496608069	9.94847545	8.910069368	NA	NA	NA
A0A075F5C6;A0A075F6C2;P38532;P38532-2;Q52L52	Hsf1	10.45992379	8.526896459	14.85562416	12.1756192	11.59429767	14.28552455	14.16407844	9.120477614	9.165548166	12.37244652	9.86035271	9.681738633	9.143572105	9.528719813
A0A076N9U7;A0A1L1SUG9;Q91ZI0	Celsr3	8.053284305	8.687395252	6.143115421	5.902234104	NA	6.719668981	6.055458184	8.564367098	9.094605945	8.203613695	8.637181597	8.899432704	9.017882203	9.017836706
A0A077K8V5;E9Q573	Gm609	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.49569884	NA	NA	NA	NA
A0A077KA19;Gm17783_H228R;Gm17783_N198I	Gm17783;;	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.107675001	NA	NA	NA	NA
A0A087WNL7;A0A087WQ44	Srcap	7.436384778	8.904313149	NA	6.25095479	8.413850579	9.733684424	9.611727189	6.66093202	7.572205203	8.457497732	7.890632675	7.664936996	NA	6.360156297
A0A087WNR1;A0A087WSR1;E9Q917;G3UWF0;Q80XQ8	Fam168b	11.61338436	11.19906889	NA	NA	NA	12.33861725	12.66443898	12.27850765	11.8616765	12.57853251	10.84185254	11.32789368	12.02293476	11.72031204
A0A087WNT1;P83940	Eloc	17.16868571	17.15586337	17.00665906	16.66369177	16.8414317	16.56192572	16.81588178	17.06273296	17.1530949	16.76318997	16.93050048	17.11906601	17.10151176	17.16413407
