Gene name,Mouse gene name
MT-ND1,mt-Nd1
MT-ND2,mt-Nd2
MT-CO1,mt-Co1
MT-CO2,mt-Co2
MT-ATP8,mt-Atp8
MT-ATP6,mt-Atp6
MT-CO3,mt-Co3
MT-ND3,mt-Nd3
MT-ND4L,mt-Nd4l
MT-ND4,mt-Nd4
MT-ND5,mt-Nd5
MT-ND6,mt-Nd6
MT-CYB,mt-Cytb
MAFIP,Tekt4
,Prodh
,Dgcr6
,Gm56421
,Mrpl23
U1,Gm56297
,Gm56420
U2,Gm25887
U1,Gm22738
U1,Gm25831
,Frg1
,Slc6a8
USP9Y,Usp9y
EIF1AY,Eif1ad17
EIF1AY,Eif1ad19
EIF1AY,Eif1ad15
EIF1AY,Eif1a
EIF1AY,Eif1ad10
EIF1AY,Eif1ad16
EIF1AY,Eif1ad13
EIF1AY,Eif1ad6
EIF1AY,Eif1ad14
EIF1AY,Eif1ad2
EIF1AY,Eif1ad8
EIF1AY,Eif1ad11
EIF1AY,Eif1ad4
EIF1AY,Eif1ad3
EIF1AY,Eif1ad12
EIF1AY,Eif1ad18
EIF1AY,Eif1ad7
RBMY1D,Rbmyf3
RBMY1D,Rbmy
RBMY1D,Rbmyf5
RBMY1D,Rbmyf6
RBMY1D,Rbmyf1
RBMY1D,Rbmyf8
RBMY1D,Rbmyf9
RBMY1D,Rbmyf2
RBMY1D,Rbmyf7
RBMY1D,Rbmyf4
RNU6-303P,Gm23258
,Gm24615
HSFY2,Hsfy2
KDM5D,Kdm5d
HSFY1,Hsfy2
TGIF2LY,Tgif2lx2
TGIF2LY,Tgif2lx1
RBMY1F,Rbmyf3
RBMY1F,Rbmy
RBMY1F,Rbmyf5
RBMY1F,Rbmyf6
RBMY1F,Rbmyf1
RBMY1F,Rbmyf8
RBMY1F,Rbmyf9
RBMY1F,Rbmyf2
RBMY1F,Rbmyf7
RBMY1F,Rbmyf4
RN7SKP282,Gm55555
RNU6-941P,Gm23725
DAZ4,Dazl
SRY,Sry
DDX3Y,Ddx3y
UTY,Uty
DAZ3,Dazl
DAZ1,Dazl
SNORA70,Gm22362
DAZ2,Dazl
RBMY1E,Rbmyf3
RBMY1E,Rbmy
RBMY1E,Rbmyf5
RBMY1E,Rbmyf6
RBMY1E,Rbmyf1
RBMY1E,Rbmyf8
RBMY1E,Rbmyf9
RBMY1E,Rbmyf2
RBMY1E,Rbmyf7
RBMY1E,Rbmyf4
RNU6-1314P,Gm25384
PCDH11Y,Pcdh11x
RBMY1J,Rbmyf3
RBMY1J,Rbmy
RBMY1J,Rbmyf5
RBMY1J,Rbmyf6
RBMY1J,Rbmyf1
RBMY1J,Rbmyf8
RBMY1J,Rbmyf9
RBMY1J,Rbmyf2
RBMY1J,Rbmyf7
RBMY1J,Rbmyf4
RBMY1B,Rbmyf3
RBMY1B,Rbmy
RBMY1B,Rbmyf5
RBMY1B,Rbmyf6
RBMY1B,Rbmyf1
RBMY1B,Rbmyf8
RBMY1B,Rbmyf9
RBMY1B,Rbmyf2
RBMY1B,Rbmyf7
RBMY1B,Rbmyf4
RBMY1A1,Rbmyf3
RBMY1A1,Rbmy
RBMY1A1,Rbmyf5
RBMY1A1,Rbmyf6
RBMY1A1,Rbmyf1
RBMY1A1,Rbmyf8
RBMY1A1,Rbmyf9
RBMY1A1,Rbmyf2
RBMY1A1,Rbmyf7
RBMY1A1,Rbmyf4
MIPEP,Mipep
KPNA3,Kpna3
CRYL1,Cryl1
CAB39L,Cab39l
DNAJC15,Dnajc15
GPR12,Gpr12
WASF3,Wasf3
POSTN,Postn
FNDC3A,Fndc3a
LHFPL6,Lhfpl6
AKAP11,Akap11
MZT1,Mzt1
PROSER1,Proser1
ERICH6B,Erich6b
TMPRSS15,Tmprss15
PIBF1,Pibf1
CXADR,Gm1123
BORA,Bora
KLHL1,Klhl1
URB1,Urb1
SCEL,Scel
JAM2,Jam2
COLEC12,Colec12
CLDN17,Cldn17
FREM2,Frem2
KRTAP24-1,Krtap24-1
SCAF4,Scaf4
TBC1D4,Tbc1d4
IMPA2,Impa2
SPRY2,Spry2
RAB31,Rab31
UFM1,Ufm1
KLF5,Klf5
YES1,Yes1
NCAM2,Ncam2
CBY2,Cby2
UBAC2,Ubac2
CLDN8,Cldn8
NDUFV2,Ndufv2
HUNK,Hunk
RFC3,Rfc3
C21orf91,D16Ertd472e
MPPE1,Mppe1
POU4F1,Pou4f1
MORC3,Morc3
SPATA13,Spata13
PAXBP1,Paxbp1
NHLRC3,Nhlrc3
OLFM4,Olfm4
IPO5,Ipo5
CELF4,Celf4
EPCIP,Epcip
ITSN1,Itsn1
DIAPH3,Diaph3
AKAIN1,Akain1
SLC14A2,Slc14a2
RALBP1,Ralbp1
SS18,Ss18
PCDH17,Pcdh17
SERTM1,Sertm1
SLC7A1,Slc7a1
SLC15A1,Slc15a1
ANKRD12,Ankrd12
FOXO1,Foxo1
COG3,Cog3
ARK2N,Ark2n
SKA1,Ska1
LRCH1,Lrch1
RPRD1A,Rprd1a
CDADC1,Cdadc1
RIT2,Rit2
DIS3,Dis3
CTAGE1,Mia2
HRH4,Hrh4
MAPK4,Mapk4
ARK2C,Ark2c
ST8SIA3,St8sia3
RNF152,Rnf152
CCDC68,Ccdc68
SLITRK6,Slitrk6
ZMYM5,Zmym5
SMAD2,Smad2
SOX1,Sox1
MYO16,Myo16
IRS2,Irs2
SPACA7,Spaca7
RAB27B,Rab27b
STOML3,Stoml3
TXNL1,Txnl1
ANKRD10,Ankrd10
NALF1,Nalf1
PCCA,Pcca
CTIF,Ctif
GAREM1,Garem1
ZBTB7C,Zbtb7c
TUBGCP3,Tubgcp3
BOD1L2,Bod1
FBXO15,Fbxo15
GRK1,Grk1
OBI1,Obi1
CDH7,Cdh7
UBL3,Ubl3
FLT3,Flt3
ATP5PO,Atp5po
TPGS2,Tpgs2
FAM216B,Fam216b
CHODL,Chodl
Metazoa_SRP,Rn7s6
RN7SKP1,Gm55036
RN7SKP2,Gm54669
RNU6-60P,Gm26420
RNU6-60P,Gm26245
RNU6-60P,Gm23003
RN7SKP6,Gm54406
RN7SL375P,Gm22701
,Gm54495
RNU6-66P,Gm23275
RNU6-61P,Gm26420
RNU6-61P,Gm26245
RNU6-61P,Gm23003
,Gm23615
,Gm54634
SNORD31B,Gm23246
,Gm23212
SNORD36,Gm24134
RNU6-58P,Gm22089
BACH1,Bach1
ITM2B,Itm2b
MC4R,Mc4r
